Type,Country,Embassy,CABs link
,Albania,British Embassy Tirana,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=151&service=10
,Algeria,British Embassy Algiers,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=91&service=10
,Angola,British Embassy Luanda,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=126&service=10
,Armenia,British Embassy Yerevan,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=157&service=10
,Austria,British Embassy Vienna,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=38&service=10
Affirmation,Azerbaijan,British Embassy Baku,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=99&service=13
,Bahrain,British Embassy Manama,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=127&service=10
Affirmation,Belarus,British Embassy Minsk,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=130&service=13
,Belgium,British Embassy Brussels,
CNI,Bolivia,British Embassy La Paz,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=124&service=10
,Bosnia and Herzegovina,British Embassy Sarajevo,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=145&service=10
Affirmation,Brazil,British Embassy Brasilia,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=105&service=13
,Brazil,British Consulate-General Rio de Janeiro,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=59&service=13
,Brazil,British Consulate-General Sao Paulo,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=76&service=13
CNI,Bulgaria,British Embassy Sofia,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=34&service=10
,Burundi,British High Commission Kigali,
Affirmation,Cambodia,British Embassy Phnom Penh,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=135&service=13
Affirmation,Colombia,British Embassy Bogotá,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=104&service=13
,Congo (Democratic Republic),British Embassy Kinshasa,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=122&service=13
Affirmation,Costa Rica,British Embassy San Jose,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=141&service=13
CNI,Croatia,British Embassy Zagreb,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=41&service=10
CNI,Cuba,British Embassy Havana,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=117&service=10
,Czechia (Czech Republic),British Embassy Prague,
CNI,Ecuador,British Embassy Quito,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=138&service=10
